,date,rates
QAR,2022-06-07,3.894919
RON,2022-06-07,4.943183
RSD,2022-06-07,117.409804
RUB,2022-06-07,66.858901
RWF,2022-06-07,1102.906168
SAR,2022-06-07,4.012975
SBD,2022-06-07,8.683079
SCR,2022-06-07,14.230949
SDG,2022-06-07,487.266508
SEK,2022-06-07,10.48629
SGD,2022-06-07,1.470361
SHP,2022-06-07,1.4734669999999999
SLL,2022-06-07,13949.463466
SOS,2022-06-07,623.124238
SRD,2022-06-07,23.251935
STD,2022-06-07,22141.543077
SVC,2022-06-07,9.360825
SYP,2022-06-07,2687.679119
SZL,2022-06-07,16.463592
THB,2022-06-07,36.840958
TJS,2022-06-07,11.955474
TMT,2022-06-07,3.744104
TND,2022-06-07,3.238101
TOP,2022-06-07,2.46983
TRY,2022-06-07,18.016735
TTD,2022-06-07,7.259128
TWD,2022-06-07,31.477245
TZS,2022-06-07,2492.503917
UAH,2022-06-07,31.612103
UGX,2022-06-07,4001.228836
USD,2022-06-07,1.069744
UYU,2022-06-07,42.681312
UZS,2022-06-07,11820.672345
VEF,2022-06-07,228743618870.7864
VND,2022-06-07,24807.365692
VUV,2022-06-07,122.235019
WST,2022-06-07,2.7592369999999997
XAF,2022-06-07,657.520737
XAG,2022-06-07,0.048097999999999995
XAU,2022-06-07,0.0005769999999999999
XCD,2022-06-07,2.891037
XDR,2022-06-07,0.792685
XOF,2022-06-07,655.255174
XPF,2022-06-07,119.677654
YER,2022-06-07,267.702839
ZAR,2022-06-07,16.463961
ZMK,2022-06-07,9628.979035
ZMW,2022-06-07,18.000067
ZWL,2022-06-07,344.457164
AED,2022-06-06,3.926933
AFN,2022-06-06,95.150806
ALL,2022-06-06,119.900712
AMD,2022-06-06,467.862312
ANG,2022-06-06,1.9269600000000002
AOA,2022-06-06,457.434093
ARS,2022-06-06,129.421963
AUD,2022-06-06,1.487299
AWG,2022-06-06,1.9243929999999998
